NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
  55 FCMAX     0.00  1 2025          
 166 POTEF   150.00  8 2023          GUARANI
 166 FCMAX    82.00  8 2023  9 2023  
 166 TEIFT     0.00  8 2023  9 2023  
 166 FCMAX   100.00 10 2023 12 2023  
 166 FCMAX     0.00  1 2024          
  57 POTEF   168.00  8 2023          MARACANAU I
  57 FCMAX    89.41  8 2023  8 2023  
  57 TEIFT     0.00  8 2023  9 2023  
  57 FCMAX    97.00  9 2023  9 2023  
  57 FCMAX    97.62 10 2023 12 2024  
  57 FCMAX     0.00  1 2025          
 167 POTEF   720.28  8 2023          P. PECEM I
 167 FCMAX    99.96  8 2023          
 167 TEIFT     0.00  8 2023  9 2023  
 167 IPTER     0.00  1 2024  4 2024  
 167 IPTER    19.35  5 2024  5 2024  
 167 IPTER     0.00  6 2024  9 2024  
 167 IPTER    19.35 10 2024 10 2024  
 167 IPTER     0.00 11 2024 12 2024  
 163 POTEF   365.00  8 2023          P. PECEM II
 163 FCMAX   100.00  8 2023          
 163 TEIFT     0.00  8 2023  9 2023  
 224 POTEF  1593.20  8 2023          P. SERGIPE I
 224 FCMAX    99.99  8 2023 11 2023  
 224 TEIFT     0.00  8 2023 11 2023  
 224 FCMAX   100.00 12 2023          
 160 POTEF    94.08  8 2023          PAU FERRO I
 160 FCMAX    99.91  8 2023  9 2023  
 160 TEIFT     0.00  8 2023  9 2023  
 160 FCMAX   100.00 10 2023          
  98 POTEF   200.79  8 2023          PERNAMBU_III
  98 TEIFT     0.00  8 2023  9 2023  
  98 FCMAX    99.98 10 2023          
 144 POTEF   136.20  8 2023          PETROLINA
 144 FCMAX    96.92  8 2023          
 144 TEIFT     0.00  8 2023  9 2023  
 259 POTEF  1571.89  7 2026          PORTOCEM I
